Title,Location,Rent,Deposit,Area,Type,Parking,Furnishing,Available From
"Co-Working  space in Wakad, Pune for Rent","Indira College Rd, near Ginger Pune Wakad","15,000No Extra Maintenance","45,000",425 sqft 35.29 per Sq.Ft.,Co-Working,ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Jambe, Pune for Rent","Rajgruha Housing Society , Opp. Last bus stop of PMPL Jambe","10,000No Extra Maintenance","30,000",280 sqft 35.71 per Sq.Ft.,Co-Working,Public And ReservedParking,UnfurnishedFurnishing,14-Jun-2023Available From
"Co-Working  space in Mhada Colony, Pune for Rent","2, New Airport Rd, Survey Number 235, Mhada Colony, Sanjay Park, Pune, Maharashtra 411006, 10 Biz Park","30,000No Extra Maintenance",1.2 Lacs,550 sqft 54.55 per Sq.Ft.,Co-Working,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Bhosari, Pune for Rent","NEAR NEHRUNAGAR HOCKY STADIUM, T-57 ANUCOOL CHOWK.","7,000No Extra Maintenance","10,000","5,000 sqft 1.40 per Sq.Ft.",Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Bhosari, Pune for Rent","PMT Chowk, near Jogeshwari Misal","10,000No Extra Maintenance","50,000",480 sqft 20.83 per Sq.Ft.,Co-Working,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Finswell, Pune for Rent","Viman nagar, next to Bajaj Finserv","4,000No Extra Maintenance","12,000",750 sqft 5.33 per Sq.Ft.,Co-Working,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Sakore Nagar, Pune for Rent","Viman Nagar, Finswell","4,000No Extra Maintenance","12,000",500 sqft 8.00 per Sq.Ft.,Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Pimple Saudagar, Pune for Rent","Shivar Chowk, near Shivar Garden Restaurant","18,000No Extra Maintenance","50,000",800 sqft 22.50 per Sq.Ft.,Co-Working,PublicParking,Fully furnishedFurnishing,30-Jun-2023Available From
"Co-Working  space in Viman Nagar, Pune for Rent","Airport road , Opposite Townsquare Building","5,000No Extra Maintenance","10,000","1,500 sqft 3.33 per Sq.Ft.",Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Wakad, Pune for Rent","aundh ravet road, Pride Purple square","7,990 +250Maintenance","50,000",710 sqft 11.25 per Sq.Ft.,Co-Working,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Chinchwad, Pune for Rent","Pimpri Road, Talera Hospital","30,000No Extra Maintenance",1.5 Lacs,"1,100 sqft 27.27 per Sq.Ft.",Co-Working,Public And ReservedParking,Semi furnishedFurnishing,04-Jun-2023Available From
"Co-Working  space in Pimpri-chinchwad, Pune for Rent","Wakad, Near  Lonkar residency","80,000 +5,000Maintenance",30 Lacs,"1,126 sqft 71.05 per Sq.Ft.",Co-Working,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Hinjawadi, Pune for Rent","Unnamed Road, Meza 9.","6,500No Extra Maintenance","20,000","2,250 sqft 2.89 per Sq.Ft.",Co-Working,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Co-Working  space in Kaspate Wasti, Wakad, Pune for Rent","sonigra landmark, ","15,000No Extra Maintenance","30,000","1,000 sqft 15.00 per Sq.Ft.",Co-Working,Public And ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Sakore Nagar, , Pune for Rent","Viman Nagar, opposite saraswat bank","5.5 Lacs +7,000Maintenance",16.5 Lacs,"3,965 sqft 138.71 per Sq.Ft.",Co-Working,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Bhosari, Pune for Rent","S Block, Near Thakur Crane & Transport Services","75,000No Extra Maintenance",2 Lacs,"4,000 sqft 18.75 per Sq.Ft.",Co-Working,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Co-Working  space in Wakad, Pune for Rent","Shankar Kalat Nagar, Pimpri-Chinchwad, Near Hotel Sanket Inn","35,000No Extra Maintenance","70,000","1,000 sqft 35.00 per Sq.Ft.",Co-Working,PublicParking,Fully furnishedFurnishing,14-Jun-2023Available From
"Co-Working  space in Dapodi, Pune for Rent","Siddhi Towers A wing, Vineyard Workers Church","12,000 +1,000Maintenance","40,000","1,500 sqft 8.00 per Sq.Ft.",Co-Working,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
